read:0.5660, augment:0.4544
read:0.3748, augment:0.2189
read:0.4137, augment:0.2162
read:0.3684, augment:0.2255
read:0.3891, augment:0.2232
read:0.3657, augment:0.2110
read:0.3896, augment:0.2103
read:0.4084, augment:0.2143
read:0.4051, augment:0.2141
read:0.3443, augment:0.2170
read:0.4392, augment:0.2234
read:0.4160, augment:0.2172
read:0.3409, augment:0.2160
read:0.3700, augment:0.2198
read:0.4120, augment:0.2153
read:0.4034, augment:0.2136
read:0.3445, augment:0.2148
read:0.4711, augment:0.2396
read:0.3912, augment:0.2396
read:0.4051, augment:0.2182
read:0.3936, augment:0.2155
read:0.3455, augment:0.2179
read:0.3476, augment:0.2184
read:0.4280, augment:0.2186
read:0.4215, augment:0.2146
read:0.3510, augment:0.2182
read:0.3238, augment:0.2177
read:0.3886, augment:0.2158
read:0.3808, augment:0.2129
read:0.3333, augment:0.2115
read:0.4034, augment:0.2160
read:0.3757, augment:0.2215
read:0.4098, augment:0.2213
read:0.2840, augment:0.2158
read:0.3474, augment:0.2162
read:0.3862, augment:0.2112
read:0.3321, augment:0.2177
read:0.3781, augment:0.2184
read:0.3107, augment:0.2167
read:0.3951, augment:0.2210
read:0.4079, augment:0.2158
read:0.3555, augment:0.2162
read:0.3731, augment:0.2167
read:0.3848, augment:0.2208
read:0.3772, augment:0.2172
read:0.3629, augment:0.2148
read:0.3774, augment:0.2143
read:0.3428, augment:0.2210
read:0.3321, augment:0.2143
read:0.3879, augment:0.2134
read:0.4165, augment:0.2191
read:0.3431, augment:0.2229
read:0.4201, augment:0.2160
read:0.4001, augment:0.2217
read:0.3476, augment:0.2098
read:0.4139, augment:0.2136
read:0.3805, augment:0.2122
read:0.4466, augment:0.2334
read:0.4416, augment:0.2396
read:0.3853, augment:0.1795
read:0.3972, augment:0.2141
read:0.3946, augment:0.2110
read:0.4179, augment:0.2129
read:0.3779, augment:0.2229
read:0.3912, augment:0.2139
read:0.3500, augment:0.2172
read:0.3917, augment:0.2182
read:0.3524, augment:0.2186
read:0.4117, augment:0.2127
read:0.3781, augment:0.2160
read:0.3369, augment:0.2191
read:0.3300, augment:0.2172
read:0.4051, augment:0.2100
read:0.4056, augment:0.2089
read:0.3431, augment:0.2189
read:0.3614, augment:0.2141
read:0.3748, augment:0.2158
read:0.4227, augment:0.2160
read:0.4082, augment:0.2100
read:0.4065, augment:0.2115
read:0.4101, augment:0.2136
read:0.3662, augment:0.2112
read:0.3958, augment:0.2110
read:0.3822, augment:0.2303
read:0.3691, augment:0.2353
read:0.4041, augment:0.2136
read:0.3343, augment:0.2143
read:0.3610, augment:0.2141
read:0.3562, augment:0.2170
read:0.3946, augment:0.2151
read:0.3848, augment:0.2332
read:0.3760, augment:0.2284
read:0.3972, augment:0.2208
read:0.4220, augment:0.2148
read:0.3653, augment:0.2155
read:0.3593, augment:0.2205
read:0.3898, augment:0.2460
read:0.3445, augment:0.2332
read:0.4067, augment:0.2639
read:0.3946, augment:0.2291
read:0.4027, augment:0.2306
read:0.4184, augment:0.2272
read:0.3662, augment:0.2306
read:0.4160, augment:0.2286
read:0.3645, augment:0.2244
read:0.4141, augment:0.2155
read:0.3276, augment:0.2210
read:0.4160, augment:0.2203
read:0.3231, augment:0.2108
read:0.3388, augment:0.2472
read:0.4041, augment:0.2356
read:0.4215, augment:0.2308
read:0.3638, augment:0.2208
read:0.3302, augment:0.2413
read:0.4253, augment:0.2306
read:0.3903, augment:0.2160
read:0.3750, augment:0.2375
read:0.3967, augment:0.2410
read:0.3932, augment:0.2429
read:0.4356, augment:0.2294
read:0.4358, augment:0.2294
read:0.3712, augment:0.2346
read:0.4780, augment:0.2460
read:0.4194, augment:0.2413
read:0.4363, augment:0.2379
read:0.3870, augment:0.2377
read:0.4454, augment:0.2248
read:0.4606, augment:0.2429
read:0.6256, augment:0.4737
read:0.5083, augment:0.4556
read:0.6847, augment:0.3521
read:0.5291, augment:0.3140
read:0.3607, augment:0.2489
read:0.4377, augment:0.2415
read:0.4380, augment:0.2327
read:0.4535, augment:0.3896
read:0.4973, augment:0.3366
read:0.5221, augment:0.4909
read:0.5405, augment:0.3560
read:0.4179, augment:0.2809
read:0.4952, augment:0.2706
read:0.4640, augment:0.2704
read:0.5584, augment:0.3517
read:0.4549, augment:0.3564
read:0.4895, augment:0.2658
read:0.4711, augment:0.2503
read:0.3695, augment:0.2265
read:0.4289, augment:0.2518
read:0.4177, augment:0.2446
read:0.4098, augment:0.2615
read:0.3750, augment:0.2475
read:0.4318, augment:0.2360
read:0.3660, augment:0.2353
read:0.3450, augment:0.2451
read:0.4606, augment:0.2408
read:0.4621, augment:0.2408
read:0.3726, augment:0.2315
read:0.4139, augment:0.2277
read:0.3674, augment:0.2234
read:0.4046, augment:0.2348
read:0.4132, augment:0.2465
read:0.3977, augment:0.2382
read:0.4482, augment:0.2289
read:0.3865, augment:0.2353
read:0.4413, augment:0.2327
read:0.4032, augment:0.2289
read:0.4537, augment:0.2334
read:0.4315, augment:0.2360
read:0.4258, augment:0.1776
read:0.3974, augment:0.2208
read:0.3505, augment:0.2172
read:0.3731, augment:0.2193
read:0.3531, augment:0.2570
read:0.4137, augment:0.2413
read:0.4361, augment:0.2429
read:0.3159, augment:0.2198
read:0.3450, augment:0.2186
read:0.3743, augment:0.2201
read:0.3786, augment:0.2186
read:0.4160, augment:0.2391
read:0.4747, augment:0.2327
read:0.4456, augment:0.2205
read:0.3331, augment:0.2136
read:0.3772, augment:0.2203
read:0.3843, augment:0.2134
read:0.3505, augment:0.2496
read:0.4280, augment:0.2322
read:0.4063, augment:0.2136
read:0.4156, augment:0.2255
read:0.3464, augment:0.2177
read:0.3238, augment:0.2120
read:0.3319, augment:0.2198
read:0.4210, augment:0.2341
read:0.4146, augment:0.2422
read:0.4120, augment:0.2134
read:0.3450, augment:0.2193
read:0.3781, augment:0.1798
read:0.3266, augment:0.2179
read:0.3428, augment:0.2632
read:0.4120, augment:0.2387
read:0.4163, augment:0.2482
read:0.3934, augment:0.2322
read:0.2239, augment:0.2255
read:0.3865, augment:0.2334
read:0.4332, augment:0.1876
read:0.4544, augment:0.2408
read:0.4072, augment:0.2370
read:0.4094, augment:0.2465
read:0.4303, augment:0.2403
read:0.3800, augment:0.2360
read:0.3786, augment:0.2420
read:0.3557, augment:0.2460
read:0.4354, augment:0.2365
read:0.4086, augment:0.2258
read:0.3307, augment:0.2348
read:0.3946, augment:0.2317
read:0.4075, augment:0.2327
read:0.3943, augment:0.2506
read:0.4401, augment:0.2370
read:0.4332, augment:0.2360
read:0.3827, augment:0.2286
read:0.3219, augment:0.2301
read:0.3736, augment:0.2282
read:0.4337, augment:0.2344
read:0.4854, augment:0.2437
read:0.4108, augment:0.2515
read:0.3905, augment:0.2174
read:0.3593, augment:0.2134
read:0.3297, augment:0.1793
read:0.3753, augment:0.2198
read:0.4246, augment:0.2630
read:0.3953, augment:0.2351
read:0.4599, augment:0.2100
read:0.3521, augment:0.2136
read:0.3808, augment:0.2291
read:0.3684, augment:0.2351
read:0.3645, augment:0.1733
read:0.3960, augment:0.2406
read:0.3672, augment:0.2398
read:0.4101, augment:0.2348
read:0.3407, augment:0.2174
read:0.3839, augment:0.2141
read:0.3293, augment:0.2117
read:0.4063, augment:0.2508
read:0.4306, augment:0.2346
read:0.4463, augment:0.2112
read:0.3552, augment:0.2136
read:0.4013, augment:0.2129
read:0.3815, augment:0.2182
read:0.3488, augment:0.2124
read:0.4072, augment:0.2391
read:0.4485, augment:0.2418
read:0.3860, augment:0.2167
read:0.4129, augment:0.2201
read:0.3335, augment:0.2186
read:0.3603, augment:0.2170
read:0.3791, augment:0.2615
read:0.3829, augment:0.2375
read:0.4001, augment:0.2148
read:0.4046, augment:0.2124
read:0.3266, augment:0.2160
read:0.4098, augment:0.2139
read:0.3166, augment:0.2172
read:0.3979, augment:0.2434
read:0.4129, augment:0.2396
read:0.3471, augment:0.2143
read:0.3872, augment:0.2186
read:0.3726, augment:0.2136
read:0.3741, augment:0.2172
read:0.3362, augment:0.2651
read:0.4458, augment:0.2446
read:0.4201, augment:0.2456
read:0.3917, augment:0.2329
read:0.4325, augment:0.2348
read:0.4454, augment:0.2463
read:0.3757, augment:0.2465
read:0.4580, augment:0.2410
read:0.4063, augment:0.2291
read:0.3345, augment:0.2184
read:0.3967, augment:0.2139
read:0.3364, augment:0.2160
read:0.3610, augment:0.2191
read:0.3798, augment:0.2437
read:0.4294, augment:0.2315
read:0.3986, augment:0.2105
read:0.4034, augment:0.2196
read:0.4177, augment:0.2499
read:0.4146, augment:0.2437
read:0.4342, augment:0.2401
read:0.4675, augment:0.2413
read:0.4313, augment:0.2308
read:0.3607, augment:0.2294
read:0.3731, augment:0.2337
read:0.4065, augment:0.2315
read:0.3996, augment:0.2556
read:0.4354, augment:0.2351
read:0.4270, augment:0.2203
read:0.3388, augment:0.2179
read:0.3622, augment:0.2098
read:0.3810, augment:0.2189
read:0.3805, augment:0.2146
read:0.3862, augment:0.2367
read:0.4389, augment:0.2398
read:0.3788, augment:0.2177
read:0.4017, augment:0.2143
read:0.3488, augment:0.2177
read:0.3204, augment:0.2162
read:0.3884, augment:0.2446
read:0.3834, augment:0.2415
read:0.4365, augment:0.2401
read:0.3910, augment:0.2205
read:0.3977, augment:0.2129
read:0.3490, augment:0.2134
read:0.3679, augment:0.2186
read:0.3691, augment:0.2041
read:0.3843, augment:0.2344
read:0.4478, augment:0.2167
read:0.3986, augment:0.2098
read:0.4206, augment:0.2177
read:0.3898, augment:0.2177
read:0.3564, augment:0.2489
read:0.4370, augment:0.2337
read:0.4451, augment:0.2153
read:0.3736, augment:0.2115
read:0.4058, augment:0.2131
read:0.3581, augment:0.2189
read:0.3526, augment:0.2184
read:0.3648, augment:0.2415
read:0.4079, augment:0.2375
read:0.4349, augment:0.2103
read:0.4067, augment:0.2184
read:0.3469, augment:0.2086
read:0.3638, augment:0.2124
read:0.3967, augment:0.2475
read:0.3581, augment:0.2244
read:0.4132, augment:0.2277
read:0.3865, augment:0.2162
read:0.3970, augment:0.2143
read:0.4003, augment:0.2179
read:0.3791, augment:0.2115
read:0.3836, augment:0.2482
read:0.4320, augment:0.2403
read:0.4287, augment:0.2093
read:0.3645, augment:0.2139
read:0.3870, augment:0.2174
read:0.3250, augment:0.2189
read:0.4096, augment:0.2191
read:0.3412, augment:0.2186
read:0.3963, augment:0.2139
read:0.4058, augment:0.2189
read:0.3495, augment:0.2131
read:0.4020, augment:0.2148
read:0.3612, augment:0.2110
read:0.3798, augment:0.2220
read:0.3273, augment:0.2179
read:0.3684, augment:0.2148
read:0.3867, augment:0.2198
read:0.3786, augment:0.2146
read:0.3624, augment:0.2141
read:0.3433, augment:0.2139
read:0.3788, augment:0.2151
read:0.3881, augment:0.2193
read:0.3343, augment:0.2151
read:0.3719, augment:0.2179
read:0.3858, augment:0.2182
read:0.3827, augment:0.2134
read:0.3250, augment:0.2182
read:0.3710, augment:0.2165
read:0.4056, augment:0.2170
read:0.3612, augment:0.2131
read:0.3502, augment:0.2098
read:0.3583, augment:0.2134
read:0.4137, augment:0.2115
read:0.3958, augment:0.2172
read:0.3877, augment:0.2151
read:0.3924, augment:0.2086
read:0.3476, augment:0.2143
read:0.4148, augment:0.2117
read:0.3738, augment:0.2110
read:0.4015, augment:0.2136
read:0.3901, augment:0.2191
read:0.3779, augment:0.2184
read:0.4110, augment:0.2108
read:0.3910, augment:0.2093
read:0.3798, augment:0.2129
read:0.3271, augment:0.2105
read:0.3910, augment:0.2100
read:0.3862, augment:0.2201
read:0.4146, augment:0.2196
read:0.3974, augment:0.2182
read:0.4308, augment:0.2182
read:0.3793, augment:0.2103
read:0.3879, augment:0.2205
read:0.3912, augment:0.2210
read:0.3345, augment:0.2167
read:0.3865, augment:0.2186
read:0.4168, augment:0.2182
read:0.4103, augment:0.2165
read:0.4065, augment:0.2120
read:0.3514, augment:0.2193
read:0.4213, augment:0.2277
read:0.3901, augment:0.2329
read:0.3812, augment:0.2100
read:0.4175, augment:0.1833
read:0.3834, augment:0.2186
read:0.3700, augment:0.2143
read:0.3998, augment:0.2604
read:0.4385, augment:0.2377
read:0.3643, augment:0.2429
read:0.4017, augment:0.2251
read:0.4008, augment:0.2327
read:0.4165, augment:0.2322
read:0.3529, augment:0.2358
read:0.4079, augment:0.2363
read:0.3877, augment:0.2460
read:0.3626, augment:0.2091
read:0.3841, augment:0.2191
read:0.3622, augment:0.2182
read:0.3419, augment:0.1781
read:0.4056, augment:0.2298
read:0.3707, augment:0.2139
read:0.3996, augment:0.2177
read:0.3643, augment:0.2136
read:0.4289, augment:0.2201
read:0.3958, augment:0.2139
read:0.3552, augment:0.2103
read:0.4070, augment:0.2306
read:0.4115, augment:0.2341
read:0.3397, augment:0.2100
read:0.4070, augment:0.2139
read:0.4048, augment:0.2129
read:0.3874, augment:0.2127
read:0.3746, augment:0.2155
read:0.3331, augment:0.2098
read:0.3471, augment:0.2089
read:0.4089, augment:0.1698
read:0.3960, augment:0.2165
read:0.3469, augment:0.2115
read:0.4029, augment:0.2134
read:0.3476, augment:0.2451
read:0.3886, augment:0.2272
read:0.4067, augment:0.2124
read:0.3421, augment:0.2198
read:0.4094, augment:0.2134
read:0.3848, augment:0.2100
read:0.3593, augment:0.2155
read:0.3402, augment:0.2115
read:0.3781, augment:0.2196
read:0.3934, augment:0.2089
read:0.4065, augment:0.2198
read:0.3073, augment:0.2093
read:0.4115, augment:0.2186
read:0.3841, augment:0.2151
read:0.3984, augment:0.2255
read:0.4582, augment:0.2327
read:0.3638, augment:0.2179
read:0.3822, augment:0.2172
read:0.3319, augment:0.2158
read:0.3419, augment:0.2167
read:0.3655, augment:0.2515
read:0.4447, augment:0.2286
read:0.4241, augment:0.2129
read:0.4041, augment:0.2122
read:0.3595, augment:0.2110
read:0.3133, augment:0.2143
read:0.3085, augment:0.2129
read:0.3357, augment:0.2162
read:0.4108, augment:0.2134
read:0.3314, augment:0.2170
read:0.3252, augment:0.2182
read:0.3004, augment:0.2127
read:0.3791, augment:0.2065
read:0.4106, augment:0.2136
read:0.3700, augment:0.2367
read:0.3889, augment:0.2248
read:0.4346, augment:0.2129
read:0.3519, augment:0.2189
read:0.3836, augment:0.2153
read:0.4053, augment:0.2143
read:0.3796, augment:0.2496
read:0.4394, augment:0.2337
read:0.3917, augment:0.2246
read:0.3924, augment:0.2160
read:0.3836, augment:0.2184
read:0.3517, augment:0.2182
read:0.4089, augment:0.2143
read:0.4346, augment:0.2234
read:0.3426, augment:0.2198
read:0.3810, augment:0.2122
read:0.3917, augment:0.2201
read:0.3989, augment:0.2153
read:0.3791, augment:0.2189
read:0.4249, augment:0.2544
read:0.3481, augment:0.2282
read:0.4401, augment:0.2129
read:0.3853, augment:0.2124
read:0.3717, augment:0.2203
read:0.3796, augment:0.2141
read:0.3681, augment:0.2120
read:0.3202, augment:0.2172
read:0.3922, augment:0.1824
read:0.3819, augment:0.2141
read:0.3381, augment:0.2205
read:0.3943, augment:0.1786
read:0.3901, augment:0.2120
read:0.3667, augment:0.2174
read:0.4060, augment:0.2303
read:0.3998, augment:0.2284
read:0.3638, augment:0.2170
read:0.3471, augment:0.2141
read:0.3743, augment:0.2165
read:0.3183, augment:0.2201
read:0.3245, augment:0.2229
read:0.4048, augment:0.2093
read:0.4382, augment:0.2124
read:0.3808, augment:0.2174
read:0.3564, augment:0.2100
read:0.3695, augment:0.2172
read:0.3400, augment:0.2155
read:0.3498, augment:0.2275
read:0.3550, augment:0.2120
read:0.4013, augment:0.2153
read:0.3500, augment:0.2141
read:0.3741, augment:0.2177
read:0.2887, augment:0.2134
read:0.3939, augment:0.2158
read:0.3109, augment:0.2277
read:0.3760, augment:0.2136
read:0.3815, augment:0.2141
read:0.3345, augment:0.2124
read:0.3622, augment:0.2172
read:0.3462, augment:0.2193
read:0.3510, augment:0.1752
read:0.3610, augment:0.2210
read:0.3798, augment:0.2139
read:0.4261, augment:0.2425
read:0.3178, augment:0.2327
read:0.3967, augment:0.2344
read:0.2959, augment:0.2329
read:0.3979, augment:0.2282
read:0.4735, augment:0.2410
read:0.3960, augment:0.2260
read:0.3693, augment:0.2131
read:0.3586, augment:0.2153
read:0.3824, augment:0.2170
read:0.4034, augment:0.2282
read:0.4499, augment:0.2291
read:0.3448, augment:0.2277
read:0.3495, augment:0.2284
read:0.2770, augment:0.2143
read:0.4094, augment:0.2141
read:0.4048, augment:0.2122
read:0.3355, augment:0.2115
read:0.4144, augment:0.2308
read:0.4272, augment:0.2348
read:0.3290, augment:0.2263
read:0.4416, augment:0.2258
read:0.4036, augment:0.2131
read:0.3686, augment:0.2165
read:0.3810, augment:0.2415
read:0.3836, augment:0.2306
read:0.4437, augment:0.2398
read:0.3722, augment:0.2334
read:0.4044, augment:0.2313
read:0.4082, augment:0.2315
read:0.4599, augment:0.2456
read:0.4597, augment:0.2384
read:0.4354, augment:0.2236
read:0.3972, augment:0.2248
read:0.3772, augment:0.2236
read:0.4108, augment:0.2193
read:0.4056, augment:0.2201
read:0.3712, augment:0.2153
read:0.3822, augment:0.2315
read:0.3510, augment:0.2327
read:0.3834, augment:0.2558
read:0.3462, augment:0.2339
read:0.4232, augment:0.1972
read:0.3839, augment:0.2465
read:0.4504, augment:0.2410
read:0.3793, augment:0.2124
read:0.3488, augment:0.2241
read:0.4303, augment:0.2344
read:0.3929, augment:0.2334
read:0.4337, augment:0.1767
read:0.3679, augment:0.2201
read:0.3774, augment:0.2139
read:0.3388, augment:0.2196
read:0.3231, augment:0.2115
read:0.3710, augment:0.1783
read:0.3810, augment:0.2143
read:0.4044, augment:0.2248
read:0.3865, augment:0.2134
read:0.3054, augment:0.2139
read:0.3757, augment:0.2189
read:0.3591, augment:0.2112
read:0.3679, augment:0.2189
read:0.4148, augment:0.2117
read:0.3538, augment:0.2213
read:0.3669, augment:0.2122
read:0.3841, augment:0.2170
read:0.3493, augment:0.2153
read:0.3614, augment:0.2134
read:0.3843, augment:0.2148
read:0.3669, augment:0.2208
read:0.3862, augment:0.2210
read:0.3862, augment:0.2134
read:0.3879, augment:0.2146
read:0.3901, augment:0.2141
read:0.3538, augment:0.2155
read:0.3889, augment:0.2148
read:0.3679, augment:0.2182
read:0.3548, augment:0.2198
read:0.3831, augment:0.2089
read:0.3562, augment:0.2189
read:0.3455, augment:0.2201
read:0.3524, augment:0.2079
read:0.4013, augment:0.2110
read:0.4084, augment:0.2115
read:0.3955, augment:0.2115
read:0.3495, augment:0.2136
read:0.3605, augment:0.2136
read:0.4213, augment:0.2110
read:0.3521, augment:0.2193
read:0.3726, augment:0.2174
read:0.3805, augment:0.2227
read:0.3352, augment:0.2170
read:0.4227, augment:0.2160
read:0.3586, augment:0.2148
read:0.4053, augment:0.2155
read:0.4101, augment:0.2139
read:0.4387, augment:0.2108
read:0.4091, augment:0.2155
read:0.3662, augment:0.1824
read:0.3710, augment:0.2091
read:0.3939, augment:0.2143
read:0.3922, augment:0.2100
read:0.3605, augment:0.1760
read:0.3757, augment:0.2201
read:0.4098, augment:0.2205
read:0.3521, augment:0.2131
read:0.3889, augment:0.2100
read:0.4010, augment:0.2153
read:0.3989, augment:0.2196
read:0.3579, augment:0.2093
read:0.3459, augment:0.2227
read:0.3529, augment:0.2162
read:0.3262, augment:0.2184
read:0.3731, augment:0.2143
read:0.3893, augment:0.2103
read:0.3741, augment:0.2139
read:0.4177, augment:0.2201
read:0.4208, augment:0.2317
read:0.4213, augment:0.2251
read:0.4261, augment:0.2151
read:0.3748, augment:0.2129
read:0.3819, augment:0.2196
read:0.3500, augment:0.2196
read:0.3350, augment:0.2139
read:0.4289, augment:0.2198
read:0.4015, augment:0.2196
read:0.3824, augment:0.2148
read:0.3912, augment:0.2089
read:0.3908, augment:0.2172
read:0.3359, augment:0.2131
read:0.3967, augment:0.2222
read:0.3588, augment:0.2201
read:0.3963, augment:0.2174
read:0.3836, augment:0.2077
read:0.3159, augment:0.2167
read:0.3247, augment:0.2146
read:0.3984, augment:0.2174
read:0.3684, augment:0.2220
read:0.3259, augment:0.2117
read:0.3400, augment:0.2129
read:0.3347, augment:0.2170
read:0.3917, augment:0.2134
read:0.3417, augment:0.2134
read:0.3598, augment:0.2086
read:0.3490, augment:0.2525
read:0.3881, augment:0.2434
read:0.4337, augment:0.2332
read:0.3731, augment:0.2165
read:0.3538, augment:0.2141
read:0.3126, augment:0.2089
read:0.3431, augment:0.2186
read:0.3955, augment:0.2177
read:0.3357, augment:0.2179
read:0.4041, augment:0.2151
read:0.3850, augment:0.2189
read:0.3932, augment:0.2177
read:0.3464, augment:0.2122
read:0.3612, augment:0.1836
read:0.4065, augment:0.2208
read:0.3526, augment:0.2117
read:0.3793, augment:0.2148
read:0.3822, augment:0.2146
read:0.4206, augment:0.2089
read:0.4203, augment:0.2146
read:0.4380, augment:0.2205
read:0.4301, augment:0.2186
read:0.3886, augment:0.1810
read:0.4101, augment:0.2158
read:0.3259, augment:0.2203
read:0.4125, augment:0.2103
read:0.4354, augment:0.2160
read:0.3798, augment:0.2160
read:0.3259, augment:0.2177
read:0.3903, augment:0.2179
read:0.4025, augment:0.2122
read:0.3140, augment:0.2148
read:0.3972, augment:0.2158
read:0.3748, augment:0.2375
read:0.3822, augment:0.2284
read:0.3648, augment:0.2341
read:0.3211, augment:0.2134
read:0.4056, augment:0.1798
read:0.3803, augment:0.2170
read:0.3808, augment:0.2074
read:0.4520, augment:0.2234
read:0.3662, augment:0.2167
read:0.3369, augment:0.2155
read:0.3660, augment:0.2151
read:0.3362, augment:0.2165
read:0.3676, augment:0.2120
read:0.4110, augment:0.2182
read:0.3896, augment:0.2422
read:0.3920, augment:0.2341
read:0.4015, augment:0.2165
read:0.4089, augment:0.2179
read:0.3004, augment:0.2143
read:0.3994, augment:0.2160
read:0.3335, augment:0.2341
read:0.3238, augment:0.2165
read:0.3870, augment:0.2210
read:0.3791, augment:0.2162
read:0.3834, augment:0.2193
read:0.3567, augment:0.2196
read:0.3698, augment:0.2122
read:0.3748, augment:0.2503
read:0.3920, augment:0.2332
read:0.3717, augment:0.2117
read:0.3874, augment:0.2139
read:0.3114, augment:0.2191
read:0.3700, augment:0.2131
read:0.3517, augment:0.2086
read:0.3726, augment:0.2155
read:0.4082, augment:0.1810
read:0.4032, augment:0.2193
read:0.3536, augment:0.2186
read:0.3679, augment:0.2189
read:0.4020, augment:0.2155
read:0.3376, augment:0.2155
read:0.4766, augment:0.2375
read:0.4008, augment:0.2391
read:0.3633, augment:0.1762
read:0.3479, augment:0.2205
read:0.3898, augment:0.2131
read:0.3762, augment:0.2086
read:0.4244, augment:0.2112
read:0.3760, augment:0.2184
read:0.3796, augment:0.2179
read:0.3920, augment:0.2174
read:0.4365, augment:0.2146
read:0.3159, augment:0.2191
read:0.3915, augment:0.2198
read:0.3390, augment:0.2203
read:0.3576, augment:0.2129
read:0.3216, augment:0.2198
read:0.3538, augment:0.2182
read:0.3643, augment:0.2091
read:0.3090, augment:0.2131
read:0.3753, augment:0.2143
read:0.4086, augment:0.2222
read:0.3431, augment:0.2267
read:0.3994, augment:0.2177
read:0.3603, augment:0.2122
read:0.3750, augment:0.2131
read:0.3514, augment:0.2191
read:0.3929, augment:0.2239
read:0.4156, augment:0.2277
read:0.3762, augment:0.2367
read:0.3653, augment:0.2141
read:0.3436, augment:0.2158
read:0.3619, augment:0.2103
read:0.3583, augment:0.2127
read:0.4053, augment:0.2201
read:0.4227, augment:0.2081
read:0.3853, augment:0.2170
read:0.3464, augment:0.2134
read:0.3519, augment:0.2186
read:0.3464, augment:0.2186
read:0.3588, augment:0.2143
read:0.4106, augment:0.2155
read:0.3300, augment:0.2189
read:0.3912, augment:0.2172
read:0.3960, augment:0.2196
read:0.3195, augment:0.1767
read:0.3552, augment:0.2174
read:0.3812, augment:0.2141
read:0.4156, augment:0.2220
read:0.4003, augment:0.2136
read:0.3917, augment:0.2124
read:0.3576, augment:0.2172
read:0.3850, augment:0.2174
read:0.3943, augment:0.2100
read:0.4013, augment:0.2208
read:0.3793, augment:0.2155
read:0.4292, augment:0.2134
read:0.3707, augment:0.2189
read:0.4001, augment:0.2179
read:0.4108, augment:0.2141
read:0.4125, augment:0.2136
read:0.4072, augment:0.2148
read:0.3915, augment:0.2165
read:0.3726, augment:0.2167
read:0.3986, augment:0.2131
read:0.4098, augment:0.2191
read:0.3552, augment:0.2179
read:0.3486, augment:0.2248
read:0.3848, augment:0.2139
read:0.4108, augment:0.2167
read:0.3247, augment:0.2129
read:0.4237, augment:0.2182
read:0.3800, augment:0.2167
read:0.3872, augment:0.2089
read:0.4220, augment:0.2179
read:0.3934, augment:0.2112
read:0.3872, augment:0.2177
